PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=45.0 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=115 time=44.4 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=115 time=47.3 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=115 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=115 time=44.3 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=115 time=42.8 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=115 time=43.5 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=115 time=42.8 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=115 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=115 time=41.9 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=115 time=47.0 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=115 time=42.5 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=115 time=42.4 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=115 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=115 time=41.7 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=115 time=42.1 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=115 time=47.0 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=115 time=42.0 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=115 time=41.9 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=115 time=40.9 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=115 time=41.4 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=115 time=44.3 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=115 time=44.0 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=115 time=55.2 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=115 time=56.0 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=115 time=41.9 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=115 time=42.0 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=115 time=41.4 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=115 time=41.6 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=115 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=115 time=42.0 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=115 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=115 time=43.3 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=115 time=44.2 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=115 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=115 time=44.1 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=115 time=43.7 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=115 time=41.9 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=115 time=43.5 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=115 time=42.1 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=115 time=42.4 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=115 time=43.8 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=115 time=43.6 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=115 time=41.9 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=71 ttl=115 time=41.3 ms
64 bytes from 8.8.8.8: icmp_seq=72 ttl=115 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=73 ttl=115 time=42.6 ms
64 bytes from 8.8.8.8: icmp_seq=74 ttl=115 time=43.9 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=115 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=115 time=43.8 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=115 time=43.6 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=115 time=43.2 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=115 time=43.2 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=115 time=43.6 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=115 time=45.2 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=115 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=115 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=115 time=41.4 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=115 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=115 time=42.6 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=115 time=42.6 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=115 time=42.4 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=115 time=43.3 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=115 time=52.6 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=115 time=43.7 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=115 time=44.1 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=115 time=44.3 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=115 time=43.6 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=115 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=115 time=42.8 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=115 time=42.7 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=115 time=56.8 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=115 time=43.3 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=115 time=43.8 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=115 time=43.2 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=115 time=41.1 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=115 time=48.0 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=115 time=44.0 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=115 time=42.8 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=115 time=43.3 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=115 time=44.9 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=115 time=43.6 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=115 time=42.5 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=115 time=41.7 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=115 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=115 time=42.5 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=115 time=52.1 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=115 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=120 ttl=115 time=41.6 ms
64 bytes from 8.8.8.8: icmp_seq=121 ttl=115 time=42.1 ms
64 bytes from 8.8.8.8: icmp_seq=122 ttl=115 time=42.2 ms
64 bytes from 8.8.8.8: icmp_seq=123 ttl=115 time=79.1 ms
64 bytes from 8.8.8.8: icmp_seq=124 ttl=115 time=42.4 ms
64 bytes from 8.8.8.8: icmp_seq=125 ttl=115 time=56.5 ms
64 bytes from 8.8.8.8: icmp_seq=126 ttl=115 time=41.6 ms
64 bytes from 8.8.8.8: icmp_seq=127 ttl=115 time=80.7 ms
64 bytes from 8.8.8.8: icmp_seq=128 ttl=115 time=41.9 ms
64 bytes from 8.8.8.8: icmp_seq=129 ttl=115 time=44.0 ms
64 bytes from 8.8.8.8: icmp_seq=130 ttl=115 time=42.1 ms
64 bytes from 8.8.8.8: icmp_seq=131 ttl=115 time=42.1 ms
64 bytes from 8.8.8.8: icmp_seq=132 ttl=115 time=41.3 ms
64 bytes from 8.8.8.8: icmp_seq=143 ttl=115 time=42.6 ms
64 bytes from 8.8.8.8: icmp_seq=144 ttl=115 time=45.2 ms
64 bytes from 8.8.8.8: icmp_seq=145 ttl=115 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=146 ttl=115 time=43.7 ms

--- 8.8.8.8 ping statistics ---
146 packets transmitted, 130 received, 10.9589% packet loss, time 155875ms
rtt min/avg/max/mdev = 40.916/43.894/80.656/5.333 ms
